Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_no_inf,Savings_quite rich,Savings_rich,Risk_bad,Check_moderate,Check_no_inf,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior
67,2,7.063903961472068,6,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
22,2,8.691314551644853,48,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
49,1,7.647786045440933,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
45,2,8.97233695775495,42,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
53,2,8.490849216076635,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
35,1,9.111072370317514,36,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
53,2,7.949797216161852,24,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
35,3,8.846209127360996,36,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
61,1,8.025843344150903,12,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
28,3,8.562931083090092,30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
25,2,7.166265974133638,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
24,2,8.36822903827628,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22,2,7.356918242356021,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
60,1,7.089243155027514,24,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
28,2,7.246368080102461,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32,1,7.156176637480615,24,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
53,2,7.793174347189205,24,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
25,2,8.996156562033445,30,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
44,3,9.439784035838873,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
31,2,8.140315540159985,24,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
48,2,7.665753431861699,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
44,2,7.881182202227102,6,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
48,1,7.714677473800927,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
44,2,7.4977617006225685,12,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
26,2,7.634820677745543,10,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
36,1,7.2254814727822945,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
39,1,6.054439346269371,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
